ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,معادلات دیفرانسیل,---,3,نظری,ریاضی عمومی 1,---
2,آزمایشگاه فیزیک 2,---,1,عملی,فیزیک 2,---
3,مدارهای الکتریکی و الکترونیکی,---,3,نظری,فیزیک 2,معادلات دیفرانسیل
4,کارگاه برنامه نویسی پیشرفته,---,1,عملی,---,برنامه نویسی پیشرفته
5,ساختمان داده ها و الگوریتم ها,https://codegeeks.ir/requirements/courses/data-structures,3,نظری,ریاضیات گسسته + برنامه نویسی پیشرفته,---
6,معماری کامپیوتر,---,3,نظری,مدارهای منطقی,---
7,آزمایشگاه مدارهای منطقی,---,1,عملی,"مدارهای منطقی - طبق مصوبه 14000304 گروه ",---
8,بسته اخلاق در اسلام,---,2,---,---,---
# نیمسال سوم
# 17 واحد
