ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,ریاضی عمومی 1,---,3,نظری,---,---
2,فیزیک 1,---,3,نظری,---,---
3,مبانی کامپیوتر و برنامه نویسی,---,3,نظری,---,---
4,کارگاه مبانی کامپیوتر و برنامه نویسی,---,1,عملی,---,مبانی کامپیوتر و برنامه نویسی
5,ریاضیات گسسته,---,3,نظری,طبق مصوبه 980320 گروه,ریاضی عمومی 1 + مبانی کامپیوتر و برنامه نویسی
6,زبان انگلیسی,---,3,---,---,---
7,بسته مبانی نظری اسلام 1,---,2,---,---,---

#title, نیمسال اول
#header, ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
#type, number, string, link, number, string, string, string
#show, true, true, false, true, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال اول − ۱۸ واحد
