ردیف,درس,واحد,نوع,پیشنیاز,همنیاز,منبع
1,معادلات دیفرانسیل,3,نظری,ریاضی عمومی 1,,
2,آزمایشگاه فیزیک 2,1,عملی,فیزیک 2,,
3,مدارهای الکتریکی و الکترونیکی,3,نظری,فیزیک 2,معادلات دیفرانسیل,
4,کارگاه برنامه نویسی پیشرفته,1,عملی,,برنامه نویسی پیشرفته,
5,ساختمان داده ها و الگوریتم ها,3,نظری,ریاضیات گسسته + برنامه نویسی پیشرفته,,https://codegeeks.ir/requirements/courses/data-structures
6,معماری کامپیوتر,3,نظری,مدارهای منطقی,,
7,آزمایشگاه مدارهای منطقی,1,عملی,"مدارهای منطقی - طبق مصوبه 14000304 گروه ",,
8,بسته اخلاق در اسلام,2,,,,
#title, نیمسال سوم
#header, ردیف,درس,واحد,نوع,پیشنیاز,همنیاز,منبع
#type, integer, title, integer, title, title, title, link
#show, true, true, false, false, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال سوم − ۱۷ واحد
#element, rows

