ردیف,گرایش,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,---,مهندسی نرم افزار 1,https://codegeeks.ir/requirements/courses/software-engineering,3,نظری,اصول طراحی پایگاه داده‌ها - طبق مصوبه 980429 گروه,---
2,---,ریزپردازنده و زبان اسمبلی,---,3,نظری,معماری کامپیوتر,---
3,---,آزمایشگاه شبکه‌های کامپیوتری,---,1,عملی,شبکه های کامپیوتری - طبق مصوبه 14000304 گروه,---
4,---,برنامه نویسی وب,---,3,نظری,شبکه های کامپیوتری,---
5,---,انتقال داده‌ها,---,3,نظری,شبکه های کامپیوتری - طبق مصوبه 980311 گروه,---
6,نرم افزار، شبکه,زبان‌های برنامه نویسی,---,3,نظری,اصول طراحی کامپایلر - طبق مصوبه 980429 گروه,---
6,هوش مصنوعی، شبکه,مبانی هوش محاسباتی,https://codegeeks.ir/requirements/courses/computational-intelligence,3,نظری,طراحی الگوریتم‌ها,---
7,---,زبان فارسی,---,3,---,---,---
8,---,کارآموزی,---,1,عملی,روش پژوهش و ارائه + تابستان سال سوم,---
# نیمسال ششم
# 19 + 1 واحد
