ردیف,درس,واحد,گرایش,نوع,پیشنیاز,همنیاز,منبع
1,مبانی امنیت اطلاعات,3,,نظری,شبکه‌های کامپیوتری,,
2,مبانی رایانش ابری,3,,نظری,سیستم‌های عامل + شبکه‌های کامپیوتری,,https://codegeeks.ir/requirements/courses/cloud-computing
3,مدیریت پروژه فناوری اطلاعات,3,,نظری,طبق مصوبه 980320 گروه,,
4,بازیابی اطلاعات,3,,نظری,آمار و احتمال مهندسی + ساختمان داده‌ها و الگوریتم‌ها,,
5,مهندسی نرم افزار 2,3,نرم افزار، شبکه,نظری,مهندسی نرم افزار 1,,
5,داده کاوی,3,هوش مصنوعی، شبکه,نظری,مبانی هوش محاسباتی,,https://codegeeks.ir/requirements/courses/data-mining
6,آزمایشگاه ریزپردازنده و زبان اسمبلی,1,,عملی,ریزپردازنده و زبان اسمبلی - طبق مصوبه 14000304 گروه,,https://codegeeks.ir/requirements/courses/laboratory
7,بسته آشنایی مبانی اسلامی,2,,,,,
#title, نیمسال هفتم
#header, ردیف,درس,واحد,گرایش,نوع,پیشنیاز,همنیاز,منبع
#type, integer, title, integer, title, title, title, title, link
#show, true, true, false, false, false, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال هفتم − ۱۸ واحد
#element, rows

