ردیف,گرایش,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
1,---,پروژه پایانی,---,3,عملی,روش پژوهش و ارائه,---
2,---,برنامه نویسی دستگاه‌های سیار,---,3,نظری,برنامه نویسی وب - طبق مصوبه 14010221 گروه,---
3,---,مبانی اینترنت اشیاء,---,3,نظری,ریزپردازنده و زبان اسمبلی + شبکه‌های کامپیوتری,---
4,---,مباحث ویژه 1,---,3,نظری,---,---
5,نرم افزار، شبکه,تجارت الکترونیک,---,3,نظری,شبکه‌های کامپیوتری - طبق مصوبه 980320 گروه,---
5,هوش مصنوعی، شبکه,یک درس از کارشناسی ارشد با نظر استاد راهنما,---,3,نظری,---,---

#title, نیمسال هشتم
#header, ردیف,درس,منبع,واحد,نوع,پیشنیاز,همنیاز
#type, number, string, link, number, string, string, string
#show, true, true, false, true, false, false, false
#date, 2022-09-26 09:00
#version, 1401
#description, نیمسال هشتم − ۱۹ واحد
